,distance
676,0.1513274595042136
677,0.2860069929214946
678,0.06708203932499623
679,0.29410882339705696
680,0.3289376840679658
681,0.0761577310586398
682,0.14000000000000057
683,0.21633307652784362
684,0.147648230602333
685,0.19723082923315985
686,0.06403124237434127
687,0.06403124237432574
688,0.07280109889279752
689,0.1315294643796691
690,0.17464249196571743
691,0.19697715603592764
692,0.15000000000000568
693,0.42426406871191646
694,0.17117242768623814
695,0.12999999999999545
696,0.3201562118716358
697,0.21470910553584713
698,0.1303840481040483
699,0.1389244398945021
700,0.7940403012442124
701,1.1742657280190052
702,0.2256102834535694
703,0.539351462406472
704,0.12806248474865703
705,0.13152946437965504
706,0.9437160589923188
707,0.22561028345356782
708,1.173243367763055
709,0.21954498400099923
710,0.16763054614241368
711,0.04999999999999716
712,0.07211102550928121
713,0.2823118842698666
714,0.03162277660168649
715,0.21213203435595723
716,0.21095023109729538
717,0.3047950130825683
718,0.9124143795447301
719,0.060000000000002274
720,0.1166190378969145
721,0.02236067977499027
722,0.9730878685915335
723,1.6000312496948244
724,1.3146862743635903
725,0.7715568676384108
726,0.5869412236331664
727,0.24083189157585522
728,5.0870915069418565
729,0.031622776601679746
730,0.1
731,0.04999999999999716
732,0.14035668847618293
733,0.12806248474865148
734,0.17464249196572965
735,0.05385164807134752
736,0.05
737,0.14000000000000057
738,0.08602325267042485
739,0.21470910553583752
740,0.05099019513593303
741,0.0921954445729244
742,0.06403124237432685
743,0.23021728866443095
744,0.04242640687119446
745,0.07211102550928515
746,0.06999999999999318
747,0.09219544457293288
748,0.13341664064125916
749,0.07615773105864633
750,0.09055385138136948
751,0.21400934559032556
752,0.0640312423743213
753,0.12041594578792437
754,0.0761577310586398
755,0.321403173599763
756,0.1204159457879279
757,0.14560219778561068
758,0.06082762530298411
759,0.11313708498984519
760,0.18601075237738698
761,0.06708203932499623
762,0.08246211251235058
763,0.022360679774996627
764,0.12083045973594403
765,0.010000000000005116
766,0.03162277660168649
767,0.03605551275462681
768,0.058309518948451156
769,0.10816653826392378
770,0.04123105625617357
771,0.06082762530298411
772,0.11401754250991354
773,0.010000000000005116
774,0.04999999999999716
775,0.0538516480713462
776,0.050000000000005686
777,0.058309518948451156
778,0.07071067811865074
779,0.12165525060596823
780,0.11401754250991541
781,0.05830951894844384
782,0.08944271910000239
783,0.12999999999998998
784,0.14764823060234264
785,0.11401754250990545
786,0.18248287590894652
787,0.04000000000000625
788,0.13416407864998928
789,0.04999999999999431
790,0.16278820596099391
791,0.0799999999999983
792,0.20518284528683645
793,0.17804493814764308
794,0.34132096331752165
795,0.3492849839314666
796,0.12041594578792437
797,0.12041594578791376
798,0.06324555320336624
799,0.05099019513593025
800,0.05000000000001137
801,0.07280109889280437
802,0.09055385138137734
803,0.08544003745317412
804,0.06403124237432685
805,0.05099019513592328
806,0.08062257748297916
807,0.058309518948451156
808,0.07211102550928121
809,0.05385164807134752
810,0.07810249675907557
811,0.06082762530298411
812,0.04999999999999716
813,0.02236067977499345
814,0.04242640687119446
815,0.03162277660168424
816,0.0608276253029701
817,0.08246211251235404
818,0.07211102550927727
819,0.044721359549999604
820,0.031622776601681994
821,0.04999999999999431
822,0.08544003745317412
823,0.03162277660168424
824,0.06403124237433018
825,0.06403124237432685
826,0.04472135954999961
827,0.022360679774996627
828,0.05830951894845725
829,0.030000000000001137
830,0.029999999999986926
831,0.02236067977500298
832,0.06324555320336848
833,0.1063014581273454
834,0.06403124237433683
835,0.05830951894845725
836,0.07211102550926939
837,0.10000000000000568
838,0.12529964086141726
839,0.10630145812735008
840,0.11180339887498948
841,0.35468295701936736
842,0.050000000000005686
843,0.00999999999999801
844,0.5186520991956067
845,0.1526433752247327
846,0.16492422502470808
847,0.14764823060234264
848,0.10770329614268845
849,0.04123105625618219
850,0.036055512754642575
851,0.09433981132056309
852,0.12165525060596122
853,0.08485281374238891
854,0.05099019513592328
855,0.03162277660168649
856,0.07615773105863326
857,0.09486832980504824
858,0.09486832980504824
859,0.20099751242242023
860,0.06324555320335724
861,0.05656854249492762
862,0.09486832980505497
863,0.1526433752247327
864,0.08062257748298356
865,0.05385164807134093
866,0.03162277660168649
867,0.08062257748298356
868,0.10198039027185632
869,0.050990195135924676
870,0.04242640687119446
871,0.13601470508735297
872,0.14422205101856242
873,0.11661903789690231
874,0.028284271247456274
875,0.07071067811865576
876,0.08246211251235058
877,0.06708203932499623
878,0.036055512754638634
879,0.1166190378969084
880,0.08246211251235232
881,0.03162277660168424
882,0.036055512754638634
